customer_key,customer_id,customer_number,first_name,last_name,gender,country,birthdate,marital_status,create_date
1,11011,AW00011011,Curtis,Lu,Male,Australia,1969-05-03,Married,2025-10-06
2,11009,AW00011009,Shannon,Carlson,Male,Australia,1969-09-29,Single,2025-10-06
3,11003,AW00011003,Christy,Zhu,Female,Australia,1973-08-14,Single,2025-10-06
4,11013,AW00011013,Ian,Jenkins,Male,United States,1979-08-03,Married,2025-10-06
5,11007,AW00011007,Marco,Mehta,Male,Australia,1969-11-06,Married,2025-10-06
6,11002,AW00011002,Ruben,Torres,Male,Australia,1971-02-09,Married,2025-10-06
7,11006,AW00011006,Janet,Alvarez,Female,Australia,1976-12-02,Single,2025-10-06
8,11010,AW00011010,Jacquelyn,Suarez,Female,Australia,1969-08-05,Single,2025-10-06
9,11000,AW00011000,Jon,Yang,Male,Australia,1971-10-06,Married,2025-10-06
10,11014,AW00011014,Sydney,Bennett,Female,United States,1973-11-06,Single,2025-10-06
11,11004,AW00011004,Elizabeth,Johnson,Female,Australia,1979-08-05,Single,2025-10-06
12,11008,AW00011008,Rob,Verhoff,Female,Australia,1975-07-04,Single,2025-10-06
13,11012,AW00011012,Lauren,Walker,Female,United States,1979-01-14,Married,2025-10-06
14,11005,AW00011005,Julio,Ruiz,Male,Australia,1976-08-01,Single,2025-10-06
15,11015,AW00011015,Chloe,Young,Female,United States,1984-08-26,Single,2025-10-06
16,11001,AW00011001,Eugene,Huang,Male,Australia,1976-05-10,Single,2025-10-06
17,11108,AW00011108,Kari,Alvarez,Female,Australia,1969-01-10,Single,2025-10-07
18,11042,AW00011042,Megan,Sanchez,Female,United States,1982-12-11,Married,2025-10-07
19,11022,AW00011022,Ethan,Zhang,Male,United States,1984-04-10,Married,2025-10-07
20,11017,AW00011017,Shannon,Wang,Female,Australia,1949-12-24,Single,2025-10-07
21,11174,AW00011174,Nicholas,Robinson,Male,United States,1973-01-09,Married,2025-10-07
22,11049,AW00011049,Carol,Rai,Female,United States,1986-01-15,Single,2025-10-07
23,11086,AW00011086,Ryan,Brown,Male,United States,1963-06-22,Married,2025-10-07
24,11046,AW00011046,Christine,Yuan,Female,Australia,1955-09-19,Married,2025-10-07
25,11130,AW00011130,Caroline,Russell,Female,United States,1985-07-05,Married,2025-10-07
26,11069,AW00011069,Carolyn,Navarro,Female,Australia,1966-09-17,Single,2025-10-07
27,11039,AW00011039,Marc,Martin,Male,Australia,1954-06-16,Married,2025-10-07
28,11155,AW00011155,Hunter,Robinson,Male,United States,1981-07-25,Single,2025-10-07
29,11025,AW00011025,Alejandro,Beck,Male,Australia,1951-06-22,Married,2025-10-07
30,11075,AW00011075,Felicia,Jimenez,Female,Australia,1963-05-16,Single,2025-10-07
31,11107,AW00011107,Bianca,Lin,Female,Australia,1976-03-04,Married,2025-10-07
32,11076,AW00011076,Blake,Anderson,Male,Australia,1963-01-10,Single,2025-10-07
33,11150,AW00011150,Russell,Shen,Male,Australia,1946-09-12,Single,2025-10-07
34,11182,AW00011182,Stephanie,Torres,Female,United States,1950-02-22,Single,2025-10-07
35,11162,AW00011162,Chase,Cox,Male,United States,1979-09-02,Single,2025-10-07
36,11179,AW00011179,Molly,Rodriguez,Female,United States,1959-12-08,Married,2025-10-07
37,11044,AW00011044,Adam,Flores,Male,Australia,1954-11-21,Married,2025-10-07
38,11087,AW00011087,Tamara,Liang,Female,United States,1963-04-02,Married,2025-10-07
39,11035,AW00011035,Wendy,Dominguez,Female,Australia,1953-08-23,Married,2025-10-07
40,11112,AW00011112,Crystal,Wang,Female,Australia,1968-03-08,Married,2025-10-07
41,11081,AW00011081,Savannah,Baker,Female,United States,1972-01-21,Married,2025-10-07
42,11048,AW00011048,Jeremy,Powell,Male,Australia,1956-05-21,Married,2025-10-07
43,11128,AW00011128,Samantha,Long,Female,United States,1981-06-03,Married,2025-10-07
44,11122,AW00011122,Byron,Vazquez,Male,Australia,1965-09-30,Married,2025-10-07
45,11097,AW00011097,Edwin,Nara,Male,Australia,1972-10-23,Married,2025-10-07
46,11125,AW00011125,Dana,Navarro,Female,Australia,1961-10-06,Single,2025-10-07
47,11031,AW00011031,Theresa,Ramos,Female,Australia,1953-02-18,Married,2025-10-07
48,11114,AW00011114,Leslie,Moreno,Female,Australia,1967-11-25,Single,2025-10-07
